County,Population,OnSale_Ratio,OffSale_Ratio,CTract,Map tracts,Ctract_Pop,OnSale_actual,OffSale_actual,OnSale_auth,OffSale_auth,OnSale_over (auth-act),Offsale_over
SAN FRANCISCO,"845,602",275,"1,060",612.00,61200,"4,089",14,3,15,4,1,1
SAN FRANCISCO,"845,602",275,"1,060",614.00,61400,"5,395",19,5,20,5,1,0
SAN FRANCISCO,"845,602",275,"1,060",615.00,61500,"11,502",41,10,42,11,1,1
SAN FRANCISCO,"845,602",275,"1,060",9802.00,980200,320,1,0,1,0,0,0
SAN FRANCISCO,"845,602",275,"1,060",9803.00,980300,171,0,0,1,0,1,0
SAN FRANCISCO,"845,602",275,"1,060",9804.01,980401,0,0,0,0,0,0,0
SAN FRANCISCO,"845,602",275,"1,060",9805.01,980501,797,2,0,3,1,1,1
SAN FRANCISCO,"845,602",275,"1,060",9806.00,980600,467,1,0,2,0,1,0
SAN FRANCISCO,"845,602",275,"1,060",9809.00,980900,350,1,0,1,0,0,0
SAN FRANCISCO,"845,602",275,"1,060",9901.00,990100,0,0,0,0,0,0,0
All:,"845,602",300,"1,277",,,"805,235","2,821",662,"2,928",760,107,98
,,,,,,, , ,,,,
