"","Census_tra","License_Ty","n_stores"
"661",12502,20,1
"662",11600,21,1
"663",11600,20,1
"664",26001,20,1
"665",21800,20,1
"666",16200,20,3
"667",12902,21,5
"668",16100,21,2
"669",15900,21,4
"670",13200,21,1
"671",16801,21,3
"672",16300,21,6
"673",13000,20,4
"674",23400,21,2
"675",10100,20,4
"676",15100,21,3
"677",13000,21,6
"678",12901,21,2
"679",17101,21,2
"680",16500,21,7
"681",15700,21,4
"682",42602,20,2
"683",47701,21,4
"684",47701,20,2
"685",47902,21,1
"686",12302,21,5
"687",12202,21,5
"688",12201,21,4
"689",26301,21,1
"690",60502,21,1
"691",26404,21,1
"692",61000,20,1
"693",16200,21,4
"694",12901,20,2
"695",61100,21,8
"696",10600,20,2
"697",10900,20,4
"698",10800,20,2
"699",16600,20,5
"700",16600,21,5
"701",16801,20,1
"702",31201,21,5
"703",31000,20,3
"704",17801,21,1
"705",10900,21,3
"706",11000,21,6
"707",23103,21,1
"708",32601,21,6
"709",35100,21,4
"710",30201,21,2
"711",10500,21,2
"712",11300,20,1
"713",35202,20,1
"714",32700,21,1
"715",32602,21,1
"716",26401,21,3
"717",26403,21,1
"718",12602,21,1
"719",25300,20,2
"720",26001,21,4
"721",26100,21,3
"722",25600,21,3
"723",26100,20,1
"724",26003,21,2
"725",26004,21,1
"726",32902,21,3
"727",35201,20,2
"728",35201,21,1
"729",32802,20,1
"730",32902,20,1
"731",16802,21,2
"732",23102,21,1
"733",30900,21,1
"734",30900,20,1
"735",13101,21,1
"736",10800,21,1
"737",13200,20,1
"738",16700,20,1
"739",11901,21,1
"740",47902,20,1
"741",12000,20,1
"742",30600,21,3
"743",12000,21,4
"744",22903,20,1
"745",11300,21,3
"746",22704,20,2
"747",26302,21,2
"748",17700,20,2
"749",25800,21,1
"750",600700,20,1
"751",31202,21,1
"752",23001,21,1
"753",25701,21,1
"754",25701,20,1
"755",35400,21,3
"756",33100,21,1
"757",30102,20,1
"758",30101,20,2
"759",12100,20,1
"760",30400,20,1
"761",33000,21,2
"762",32901,20,1
